bin_num,bin_typ,bin_sec,bin_asl
PP.30.071.2.02,SA01,D,30
PP.28.026.2.10,SA01,D,28
PP.28.026.2.11,SA01,D,28
PP.30.072.2.02,SA01,D,30
PR.05.058.1.05,SA01,C,05
PR.05.058.1.06,SA01,C,05
PP.28.026.2.12,SA01,D,28
PP.28.026.2.13,SA01,D,28
PR.05.058.1.07,SA01,C,05
PP.28.026.2.14,SA01,D,28
PP.30.073.2.02,SA01,D,30
PP.30.074.2.02,SA01,D,30
PR.05.059.1.07,SA01,C,05
PP.28.026.2.15,SA01,D,28
PR.05.062.1.01,SA01,C,05
PP.28.027.2.01,SA01,D,28
PR.05.062.1.02,SA01,C,05
PP.28.027.2.03,SA01,D,28
PP.30.075.2.02,SA01,D,30
PP.30.076.2.02,SA01,D,30
PP.12.029.06,PA01,A,12
PK.01.047.01,PA02,D,01
PK.08.098.02,PO02,C,08
PP.03.085.08,PA01,C,03
PK.14.007.02,PO02,C,14
PP.02.091.04,PA03,A,02
PP.02.074.03,PA03,A,02
PP.04.093.09,PA02,D,04
PR.30.111.2.01,SA01,D,30
PR.30.111.2.02,SA01,D,30
PP.03.122.04,PA01,C,03
PK.04.127.02,PO02,C,04
PK.04.130.02,PO02,C,04
PP.32.097.04,PM08,0001,32
PP.28.029.2.04,SA01,D,28
PP.28.028.2.13,SA01,D,28
PP.28.028.2.14,SA01,D,28
PP.28.028.2.15,SA01,D,28
PP.28.029.2.01,SA01,D,28
PP.28.029.2.03,SA01,D,28
PP.28.029.2.05,SA01,D,28
PP.28.029.2.06,SA01,D,28
PR.18.022.2.04,SA01,C,18
PP.28.029.2.13,SA01,D,28
PP.07.013.05,PA01,C,07
PP.28.029.2.14,SA01,D,28
PP.22.107.06,PA01,A,22
PR.12.018.2.01,SA01,C,12
PP.28.030.2.04,SA01,D,28
PP.30.051.2.02,SA01,D,30
PP.30.052.2.02,SA01,D,30
PP.28.029.2.15,SA01,D,28
PP.28.030.2.01,SA01,D,28
PP.06.084.05,PA01,C,06
PP.30.053.2.02,SA01,D,30
PP.30.056.2.02,SA01,D,30
PP.06.084.06,PA01,C,06
PR.12.018.2.03,SA01,C,12
PP.30.054.2.02,SA01,D,30
PP.30.055.2.02,SA01,D,30
PP.07.009.05,PA01,C,07
PP.28.030.2.03,SA01,D,28
PP.07.009.07,PA01,C,07
PP.30.077.07,PA01,D,30
PK.05.049.02,PO02,C,05
PP.27.055.04,PA01,B,27
PP.28.023.03,PA01,D,28
PP.26.110.03,PA01,B,26
PP.27.118.04,PA01,B,27
PP.21.126.07,PA01,A,21
PP.08.094.07,PA01,A,08
PR.07.127.1.10,SA01,C,07
PR.07.127.1.11,SA01,C,07
PR.07.127.1.12,SA01,C,07
PR.07.127.1.13,SA01,C,07
PP.03.083.06,PA01,C,03
PP.07.062.03,PA01,C,07
PP.20.018.05,PA01,A,20
PP.20.018.03,PA01,A,20
PP.20.018.04,PA01,A,20
PP.28.130.06,PA01,D,28
PR.06.111.1.01,SA01,C,06
PR.18.026.2.01,SA01,C,18
PP.29.024.06,PA01,D,29
PK.16.031.02,PO02,C,16
PK.08.129.02,PO02,C,08
PK.21.015.01,PO02,A,21
PR.31.013.1.02,PM04,0001,31
PR.16.060.2.01,SA01,A,16
PR.11.050.2.04,SA01,A,11
